"idstudent";"Comfortable";"Independence";"Confidence";"Concentration_T";"Concentration_S";"Actions";"Social_adult";"Social_peer";"Rules";"Culture";"Communications";"math";"reading";"phonetics";"numberschool";"nameschool";"typeschool";"gender";"typecity";"agemonths";"ageyears";"code_sch"
500001;"2";"5";"4";"3";"2";"2";2;4;"3";"3";"4";47,29;31,33;33,03;21;"МАОУ Ворковская СОШ                                                                                                                                                                              ";"общеобразовательная школа";"м";"поселок";90;7,5;"МАОУ Борковская СОШ"
500002;"5";"5";"3";"2";"1";"4";2;2;"2";"1";"3";33,94;20,52;37,23;21;"МАОУ Ворковская СОШ                                                                                                                                                                              ";"общеобразовательная школа";"ж";"поселок";NA;NA;"МАОУ Борковская СОШ"
500003;"5";"5";"5";"4";"4";"5";5;5;"4";"4";"5";69,29;59,4;60,67;21;"МАОУ Ворковская СОШ                                                                                                                                                                              ";"общеобразовательная школа";"ж";"поселок";91;7,58333333333333;"МАОУ Борковская СОШ"
500004;"5";"4";"4";"4";"4";"4";4;5;"4";"3";"5";59,59;56,85;55,8;21;"МАОУ Ворковская СОШ                                                                                                                                                                              ";"общеобразовательная школа";"ж";"поселок";79;6,58333333333333;"МАОУ Борковская СОШ"
500005;"4";"4";"4";"3";"3";"4";3;4;"4";"3";"5";44,94;49,29;48,07;21;"МАОУ Ворковская СОШ                                                                                                                                                                              ";"общеобразовательная школа";"ж";"поселок";87;7,25;"МАОУ Борковская СОШ"
500006;"3";"4";"5";"2";"2";"2";4;4;"3";"3";"5";47,29;45,65;37,23;21;"МАОУ Ворковская СОШ                                                                                                                                                                              ";"общеобразовательная школа";"м";"поселок";84;7;"МАОУ Борковская СОШ"
500007;"4";"4";"4";"3";"2";"4";4;5;"4";"3";"5";52;59,4;41,01;21;"МАОУ Ворковская СОШ                                                                                                                                                                              ";"общеобразовательная школа";"ж";"поселок";83;6,91666666666667;"МАОУ Борковская СОШ"
500008;"3";"4";"3";"2";"1";"4";3;3;"5";"2";"4";40;51,2;44,54;21;"МАОУ Ворковская СОШ                                                                                                                                                                              ";"общеобразовательная школа";"ж";"поселок";85;7,08333333333333;"МАОУ Борковская СОШ"
500009;"4";"5";"4";"3";"3";"3";3;4;"3";"3";"3";69,29;54,97;51,76;20;"МАОУ Прогетарская СОШ                                                                                                                                                                          ";"общеобразовательная школа";"м";"поселок";81;6,75;"МАОУ Пролетарская СОШ"
500010;"4";"4";"3";"3";"3";"3";2;3;"4";"3";"3";54,41;56,85;41,01;20;"МАОУ Прогетарская СОШ                                                                                                                                                                          ";"общеобразовательная школа";"м";"поселок";92;7,66666666666667;"МАОУ Пролетарская СОШ"
500011;"5";"5";"5";"3";"3";"4";4;5;"3";"3";"5";49,65;48,72;48,07;20;"МАОУ Прогетарская СОШ                                                                                                                                                                          ";"общеобразовательная школа";"ж";"поселок";89;7,41666666666667;"МАОУ Пролетарская СОШ"
500012;"5";"5";"5";"4";"4";"5";4;5;"4";"4";"5";47,29;45,65;48,07;20;"МАОУ Прогетарская СОШ                                                                                                                                                                          ";"общеобразовательная школа";"ж";"поселок";87;7,25;"МАОУ Пролетарская СОШ"
500013;"4";"5";"4";"4";"4";"5";5;4;"4";"4";"5";47,29;53,34;48,07;20;"МАОУ Прогетарская СОШ                                                                                                                                                                          ";"общеобразовательная школа";"ж";"поселок";84;7;"МАОУ Пролетарская СОШ"
500014;"5";"5";"4";"4";"4";"5";5;5;"5";"5";"5";49,65;54,97;51,76;20;"МАОУ Прогетарская СОШ                                                                                                                                                                          ";"общеобразовательная школа";"ж";"поселок";86;7,16666666666667;"МАОУ Пролетарская СОШ"
500015;"5";"5";"4";"4";"4";"5";5;4;"5";"5";"5";49,65;56,85;60,67;20;"МАОУ Прогетарская СОШ                                                                                                                                                                          ";"общеобразовательная школа";"ж";"поселок";81;6,75;"МАОУ Пролетарская СОШ"
500016;"5";"5";"5";"3";"4";"5";5;5;"4";"4";"5";56,94;55,84;67,82;20;"МАОУ Прогетарская СОШ                                                                                                                                                                          ";"общеобразовательная школа";"ж";"поселок";85;7,08333333333333;"МАОУ Пролетарская СОШ"
500017;"4";"5";"3";"2";"2";"1";1,2;1,2;"1";"2";"3";56,94;47,15;51,76;20;"МАОУ Прогетарская СОШ                                                                                                                                                                          ";"общеобразовательная школа";"м";"поселок";91;7,58333333333333;"МАОУ Пролетарская СОШ"
500018;"5";"5";"5";"4";"4";"5";5;5;"5";"5";"5";69,29;59,4;60,67;20;"МАОУ Прогетарская СОШ                                                                                                                                                                          ";"общеобразовательная школа";"ж";"поселок";84;7;"МАОУ Пролетарская СОШ"
500019;"5";"5";"5";"5";"5";"5";5;4;"5";"5";"5";44,94;61,63;60,67;19;"МАОУ «Гимназия» 1                                                                                                                                                                                   ";"Гимназия";"ж";"город";93;7,75;"МАОУ «Гимназия» г. Валдай"
500020;"4";"5";"4";"4";"5";"5";5;4;"4";"5";"5";44,94;65,11;60,67;19;"МАОУ «Гимназия» 1                                                                                                                                                                                   ";"Гимназия";"ж";"город";83;6,91666666666667;"МАОУ «Гимназия» г. Валдай"
500021;"4";"5";"5";"5";"5";"5";4;4;"5";"5";"5";56,94;59,4;78,82;19;"МАОУ «Гимназия» 1                                                                                                                                                                                   ";"Гимназия";"ж";"город";83;6,91666666666667;"МАОУ «Гимназия» г. Валдай"
500022;"5";"4";"5";"4";"5";"4";5;4;"5";"4";"5";65,59;57,96;55,8;19;"МАОУ «Гимназия» 1                                                                                                                                                                                   ";"Гимназия";"м";"город";85;7,08333333333333;"МАОУ «Гимназия» г. Валдай"
500023;"5";"4";"3";"2";"3";"4";4;4;"4";"3";"4";52;57,96;48,07;19;"МАОУ «Гимназия» 1                                                                                                                                                                                   ";"Гимназия";"м";"город";80;6,66666666666667;"МАОУ «Гимназия» г. Валдай"
500024;"4";"5";"3";"3";"3";"4";4;3;"4";"4";"4";40;57,96;44,54;19;"МАОУ «Гимназия» 1                                                                                                                                                                                   ";"Гимназия";"м";"город";86;7,16666666666667;"МАОУ «Гимназия» г. Валдай"
500025;"5";"4";"4";"4";"4";"4";5;3;"4";"4";"5";62,41;55,84;60,67;19;"МАОУ «Гимназия» 1                                                                                                                                                                                   ";"Гимназия";"м";"город";83;6,91666666666667;"МАОУ «Гимназия» г. Валдай"
500026;"5";"5";"4";"3";"3";"4";5;1;"1";"1";"1";42,53;61,63;51,76;19;"МАОУ «Гимназия» 1                                                                                                                                                                                   ";"Гимназия";"ж";"город";85;7,08333333333333;"МАОУ «Гимназия» г. Валдай"
500027;"4";"5";"3";"3";"3";"4";4;1;"1";"1";"1";52;57,96;48,07;19;"МАОУ «Гимназия» 1                                                                                                                                                                                   ";"Гимназия";"м";"город";86;7,16666666666667;"МАОУ «Гимназия» г. Валдай"
500028;"5";"4";"4";"3";"3";"4";5;1;"1";"1";"1";49,65;61,63;60,67;19;"МАОУ «Гимназия» 1                                                                                                                                                                                   ";"Гимназия";"ж";"город";90;7,5;"МАОУ «Гимназия» г. Валдай"
